Nr,Recorded Date,What is your major?,Please select where you lived in before coming to Virginia Tech:,Please select your favorite hobby of the choices provided:,"Have you heard the song ""Creep"" by ""Radiohead""","Do you like the song ""Creep"" by ""Radiohead""","Have you heard the song ""All of Me"" by ""John Legend""","Do you like the song ""All of Me"" by ""John Legend""","Have you heard the song ""My Heart Will Go On"" by ""Celine Dion""","Do you like the song ""My Heart Will Go On"" by ""Celine Dion"""
1,3/14/18 9:14,Math or CMDA,Northeast,reading,No,No,Yes,Yes,Yes,Yes
2,3/14/18 10:20,Math or CMDA,United States (other than Southeast or Northwest),sports,No,No,No,No,No,No
3,3/14/18 10:20,Computer Science,Southeast,music,,,,,Yes,Yes
