Nr,Recorded Date,What is your major?,Please select where you lived in before coming to Virginia Tech:,Please select your favorite hobby of the choices provided:,"Have you heard the song ""Fade to Black"" by ""Metallica""","Do you like the song ""Fade to Black"" by ""Metallica""","Have you heard the song ""La La Land"" by ""City of Stars""","Do you like the song ""La La Land"" by ""City of Stars""","Have you heard the song ""November Rain"" by ""Guns n Roses""","Do you like the song ""November Rain"" by ""Guns n Roses""","Have you heard the song ""Stairway to Heaven"" by ""Led Zeppelin""","Do you like the song ""Stairway to Heaven"" by ""Led Zeppelin""","Have you heard the song ""Bohemian Rhapsody"" by ""Queen""","Do you like the song ""Bohemian Rhapsody"" by ""Queen""","Have you heard the song ""Don't Stop Me Now"" by ""Queen""","Do you like the song ""Don't Stop Me Now"" by ""Queen""","Have you heard the song ""Tiny Dancer"" by ""Elton John""","Do you like the song ""Tiny Dancer"" by ""Elton John""","Have you heard the song ""Piano Man"" by ""Billie Joel""","Do you like the song ""Piano Man"" by ""Billie Joel""","Have you heard the song ""People are Strange"" by ""The Doors""","Do you like the song ""People are Strange"" by ""The Doors"""
7,3/14/2018 10:55,Computer Science,Northeast,sports,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,3/14/2018 10:58,Computer Science,Outside of United States,music, , , , , , , , , , , , , , , , , , 
9,3/14/2018 10:58,Computer Science,Outside of United States,music,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes
14,3/14/2018 10:59,Computer Science,United States (other than Southeast or Northwest),art,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
